"o_bf_pmid","title","author","citation","first_author","journal_book","publication_year","create_date","pmcid","nihms_id","doi","address","year","source","abstract","url","notes","proceedings_title","supertaxa","date_generated","document_type","language","author_full","author_book","author_book_full","author_group","author_group_1","editor","email","orcid_id","address_1","reprint_address","researcher_id","date_early_access","date_published","source_abbreviated","source_abbreviated_1","secondary_source_id","book_series_title","book_series_subtitle","volume","issue","secondary_source_id_1","article_number","supplement","pages","start_page","start_page_1","end_page","pages_1","keywords","keywords_plus","doi_book","isbn","issn","eissn","keywords_plus_1","pubmed_id","accession_number","document_delivery_id","eppi_id","conference_name","conference_host","conference_location","address_2","start_page_2","meeting_abstract","publisher","place_published","address_3","place_published_1","place_published_2","patent_number","open_access","funding_agency","funding_text","wos_categories","research_areas","n_cited","n_cited_allwos","esi_highly_cited","esi_hot_paper","eppi_id_1","usage_2013","references_n","cited_references","row_names","o_bf_pt","filename","n_duplicates"
25116627,"Does malaria epidemiology project Cameroon as 'Africa in miniature'?","Mbenda, H.G. and Awasthi, G. and Singh, P.K. and Gouado, I. and Das, A.","J Biosci. 2014 Sep;39(4):727-38. doi: 10.1007/s12038-014-9451-y.","Mbenda HG","J Biosci",2014,"2014/08/14","","","10.1007/s12038-014-9451-y","Evolutionary Genomics and Bioinformatics Laboratory, Division of Genomics and Bioinformatics, National Institute of Malaria Research, Delhi, New110077, India","2014","Journal of biosciences","Cameroon, a west-central African country with a ~ 20 million population, is commonly regarded as 'Africa in miniature' due to the extensive biological and cultural diversities of whole Africa being present in a single-country setting. This country is inhabited by ancestral human lineages in unique eco-climatic conditions and diverse topography. Over 90 percent Cameroonians are at risk of malaria infection, and ~ 41 percent have at least one episode of malaria each year. Historically, the rate of malaria infection in Cameroon has fluctuated over the years; the number of cases was about 2 million in 2010 and 2011. The Cameroonian malaria control programme faces an uphill task due to high prevalence of multidrug-resistant parasites and insecticide-resistant malaria vectors. Above all, continued human migration from the rural to urban areas as well as population exchange with adjoining countries, high rate of ecological instabilities caused by deforestation, poor housing, lack of proper sanitation and drainage system might have resulted in the recent increase in incidences of malaria and other vector-borne diseases in Cameroon. The available data on eco-environmental variability and intricate malaria epidemiology in Cameroon reflect the situation in the whole of Africa, and warrant the need for in-depth study by using modern surveillance tools for meaningful basic understanding of the malaria triangle (host-parasite-vector-environment).","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027917462&doi=10.1007%2fs12038-014-9451-y&partnerID=40&md5=9f4afff270837ff1465855667f7fae4e","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
19737082,"Landscape epidemiology of vector-borne diseases","Reisen, W.K.","Annu Rev Entomol. 2010;55:461-83. doi: 10.1146/annurev-ento-112408-085419.","Reisen WK","Annu Rev Entomol",2010,"2009/09/10","","","10.1146/annurev-ento-112408-085419","Center for Vectorborne Diseases, Department of Pathology, Microbiology and Immunology, University of California, Davis, CA 95616, United States","2010","Annual Review of Entomology","Landscape epidemiology describes how the temporal dynamics of host, vector, and pathogen populations interact spatially within a permissive environment to enable transmission. The spatially defined focus, or nidus, of transmission may be characterized by vegetation as well as by climate, latitude, elevation, and geology. The ecological complexity, dimensions, and temporal stability of the nidus are determined largely by pathogen natural history and vector bionomics. Host populations, transmission efficiency, and therefore pathogen amplification vary spatially, thereby creating a heterogeneous surface that may be defined by remote sensing and statistical tools. The current review describes the evolution of landscape epidemiology as a science and exemplifies selected aspects by contrasting the ecology of two different recent disease outbreaks in North America caused by West Nile virus, an explosive, highly virulent mosquito-borne virus producing ephemeral nidi, and Borrelia burgdorferi, a slowly amplifying chronic pathogen producing semipermanent nidi. © 2010 by Annual Reviews All rights reserved.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77449119601&doi=10.1146%2fannurev-ento-112408-085419&partnerID=40&md5=7c27f7f6cd9c173d42f4c0bb30216594","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
30103825,"Changes in malaria vector bionomics and transmission patterns in the equatorial forest region of Cameroon between 2000 and 2017","Bamou, R. and Mbakop, L.R. and Kopya, E. and Ndo, C. and Awono-Ambene, P. and Tchuinkam, T. and Rono, M.K. and Mwangangi, J. and Antonio-Nkondjio, C.","Parasit Vectors. 2018 Aug 13;11(1):464. doi: 10.1186/s13071-018-3049-4.","Bamou R","Parasit Vectors",2018,"2018/08/15","PMC6090627","","10.1186/s13071-018-3049-4","Vector Borne Infectious Disease Unit, Laboratory of Applied Biology and Ecology (VBID-LABEA), Department of Animal Biology, Faculty of Science, University of Dschang, P. O. Box 067, Dschang, Cameroon and Laboratoire de Recherche sur le Paludisme, Organisation de Coordination Pour la Lutte Contre les Endémies en Afrique Centrale (OCEAC), B. P.288, Yaoundé, Cameroon and Faculty of Sciences, University of Yaoundé i, P.O. Box 337, Yaoundé, Cameroon and Department of Biological Sciences, Faculty of Medicine and Pharmaceutical Sciences, University of Douala, P.O. Box 24157, Douala, Cameroon and Vector Biology Liverpool School of Tropical Medicine, Pembroke Place, Liverpool, L3 5QA, United Kingdom and KEMRI-Wellcome Trust Research Programme, Centre for Geographic Medicine Research Coast, Kilifi, Kenya and KEMRI-Centre for Geographic Medicine Research Kilifi, Kilifi, Kenya and Pwani University Health and Research Institute, Pwani University, Kilifi, Kenya","2018","Parasites and Vectors","Background: Increased use of long-lasting insecticidal nets (LLINs) over the last decade has considerably improved the control of malaria in sub-Saharan Africa. However, there is still a paucity of data on the influence of LLIN use and other factors on mosquito bionomics in different epidemiological foci. The objective of this study was to provide updated data on the evolution of vector bionomics and malaria transmission patterns in the equatorial forest region of Cameroon over the period 2000-2017, during which LLIN coverage has increased substantially. Methods: The study was conducted in Olama and Nyabessan, two villages situated in the equatorial forest region. Mosquito collections from 2016-2017 were compared to those of 2000-2001. Mosquitoes were sampled using both human landing catches and indoor sprays, and were identified using morphological taxonomic keys. Specimens belonging to the An. gambiae complex were further identified using molecular tools. Insecticide resistance bioassays were undertaken on An. gambiae to assess the susceptibility levels to both permethrin and deltamethrin. Mosquitoes were screened for Plasmodium falciparum infection and blood-feeding preference using the ELISA technique. Parasitological surveys in the population were conducted to determine the prevalence of Plasmodium infection using rapid diagnostic tests. Results: A change in the species composition of sampled mosquitoes was recorded between the 2000-2001 collections and those of 2016-2017. A drop in the density of the local primary vectors An. nili and An. moucheti in the forest region was recorded, whereas there was an increase in the density of An. gambiae (s.l.), An. marshallii, An. ziemannii and An. paludis. A change in the biting behaviour from indoor to outdoor was recorded in Olama. Very few indoor resting mosquitoes were collected. A change in the night biting cycle was recorded with mosquitoes displaying a shift from night biting to late evening/early in the night. Several mosquitoes were found positive for Plasmodium infection, thus sustaining continuous transmission of malaria in both sites. Reduction of malaria transmission in Nyabessan was lower than that seen in Olama and associated with deforestation and the construction of a dam that may have enabled a more efficient vector, An. gambiae (s.l.), to invade the area. A high level of resistance to pyrethroids (permethrin and deltamethrin) was detected for An. gambiae in both sites. High parasite prevalence was recorded in both sites, with children of 0-16 years being the most affected. In both Olama and Nyabessan, bed net usage appeared to correlate to protection against malaria infection. Conclusions: The study shows important changes in the bionomics of vector populations and malaria transmission patterns in the equatorial forest region. The changes call for more concerted efforts to address challenges such as insecticide resistance, environmental modifications or behavioural changes affecting the performance of current control measures. © 2018 The Author(s).","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051841662&doi=10.1186%2fs13071-018-3049-4&partnerID=40&md5=63e252e2a818c0ae02bb4ecde7e7f67b","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
25879960,"Endogenous siRNAs and piRNAs derived from transposable elements and genes in the malaria vector mosquito Anopheles gambiae","Biryukova, I. and Ye, T.","BMC Genomics. 2015 Apr 10;16(1):278. doi: 10.1186/s12864-015-1436-1.","Biryukova I","BMC Genomics",2015,"2015/04/17","PMC4423592","","10.1186/s12864-015-1436-1","Department of Vector Biology, Max Planck Institute for Infection Biology (MPIIB), Berlin, 10117, Germany and Microarrays and deep sequencing platform, Institut de Génétique et de Biologie Moléculaire et Cellulaire (IGBMC), Illkirch, Cedex, 67404, France","2015","BMC Genomics","Background: The siRNA and piRNA pathways have been shown in insects to be essential for regulation of gene expression and defence against exogenous and endogenous genetic elements (viruses and transposable elements). The vast majority of endogenous small RNAs produced by the siRNA and piRNA pathways originate from repetitive or transposable elements (TE). In D. melanogaster, TE-derived endogenous siRNAs and piRNAs are involved in genome surveillance and maintenance of genome integrity. In the medically relevant malaria mosquito Anopheles gambiae TEs constitute 12-16% of the genome size. Genetic variations induced by TE activities are known to shape the genome landscape and to alter the fitness in An. gambiae. Results: Here, using bioinformatics approaches we analyzed the small RNA data sets from 6 libraries formally reported in a previous study and examined the expression of the mixed germline/somatic siRNAs and piRNAs produced in adult An. gambiae females. We characterized a large population of TE-derived endogenous siRNAs and piRNAs, which constitutes 56-60% of the total siRNA and piRNA reads in the analysed libraries. Moreover, we identified a number of protein coding genes producing gene-specific siRNAs and piRNAs that were generally expressed at much lower levels than the TE-associated small RNAs. Detailed sequence analysis revealed that An. gambiae piRNAs were produced by both ""ping-pong"" dependent (TE-associated piRNAs) and independent mechanisms (genic piRNAs). Similarly to D. melanogaster, more than 90% of the detected piRNAs were produced from TE-associated clusters in An. gambiae. We also found that biotic stress as blood feeding and infection with Plasmodium parasite, the etiological agent of malaria, modulated the expression levels of the endogenous siRNAs and piRNAs in An. gambiae. Conclusions: We identified a large and diverse set of the endogenously derived siRNAs and piRNAs that share common and distinct aspects of small RNA expression across insect species, and inferred their impact on TE and gene activity in An. gambiae. The TE-specific small RNAs produced by both the siRNA and piRNA pathways represent an important aspect of genome stability and genetic variation, which might have a strong impact on the evolution of the genome and vector competence in the malaria mosquitoes. © 2015 Biryukova and Ye; licensee BioMed Central.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928880399&doi=10.1186%2fs12864-015-1436-1&partnerID=40&md5=5837e8920e3680356b918c32e6c67c08","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
20466925,"The selection landscape of malaria parasites","Mackinnon, M.J. and Marsh, K.","Science. 2010 May 14;328(5980):866-71. doi: 10.1126/science.1185410.","Mackinnon MJ","Science",2010,"2010/05/15","","","10.1126/science.1185410","Kenya Medical Research Institute, Wellcome Trust Research Programme, Post Office Box 230, Kilifi, Kenya and Centre for Tropical Medicine, Nuffield Department of Clinical Medicine, University of Oxford, Oxford 0X3 7L, United Kingdom","2010","Science","Malaria parasites have to survive and transmit within a highly selective and ever-changing host environment. Because immunity to malaria is nonsterilizing and builds up slowly through repeated infections, commonly the parasite invades a host that is immunologically and physiologically different from its previous host. During the course of infection, the parasite must also keep pace with changes in host immune responses and red-blood-cell physiology. Here, we describe the ""selection landscape"" of the most virulent of the human malaria parasites, Plasmodium falciparum, and the adaptive mechanisms it uses to navigate through that landscape. Taking a cost-benefit view of parasite fitness, we consider the evolutionary outcomes of the most important forces of selection operating on the parasite, namely immunity, host death, drugs, mosquito availability, and coinfection. Given the huge potential for malaria parasite evolution in the context of the recently renewed effort to eradicate malaria, a deeper understanding of P. falciparum adaptation is essential.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952370937&doi=10.1126%2fscience.1185410&partnerID=40&md5=d086bc16112348905e982c11efc6f571","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
27790610,"Impact of Highland Topography Changes on Exposure to Malaria Vectors and Immunity in Western Kenya","Wanjala, C.L. and Kweka, E.J.","Front Public Health. 2016 Oct 14;4:227. doi: 10.3389/fpubh.2016.00227. eCollection 2016.","Wanjala CL","Front Public Health",2016,"2016/10/30","PMC5063849","","10.3389/fpubh.2016.00227","Centre for Global Health Research, Kenya Medical Research Institute, Kisumu, Kenya and Department of Medical Laboratory Sciences, Masinde Muliro University of Science and Technology, Kakamega, Kenya and Mosquito Section, Division of Livestock and Human Diseases Vector Control, Tropical Pesticides Research Institute, Arusha, Tanzania and Department of Medical Parasitology and Entomology, Catholic University of Health and Allied Sciences, Mwanza, Tanzania","2016","Frontiers in Public Health","Background: It is almost an axiom that in the African highlands (above 1,500 m) transmission of Plasmodium falciparum is limited primarily by low ambient temperature and that small changes in temperature could result in temporary favorable conditions for unstable transmission within populations that have acquired little functional immunity. The pattern of malaria transmission in the highland plateau ecosystems is less distinct due to the flat topography and diffuse hydrology resulting from numerous streams. The non-homogeneous distribution of larval breeding habitats in east African highlands obviously affects Anopheles spatial distribution which, consequently, leads to heterogeneous human exposure to malaria. Another delicate parameter in the fragile transmission risk of malaria in the highlands is the rapid loss of primary forest due to subsistence agriculture. The implication of this change in land cover on malaria transmission is that deforestation can lead to changes in microclimate of both adult and larval habitats hence increase larvae survival, population density, and gametocytes development in adult mosquitoes. Deforestation has been documented to enhancing vectorial capacity of Anopheles gambiae by nearly 100% compared to forested areas. Method: The study was conducted in five different ecosystems in the western Kenya highlands, two U-shaped valleys (Iguhu, Emutete), two V-shaped valleys (Marani, Fort Ternan), and one plateau (Shikondi) for 16 months among 6-to 15-year-old children. Exposure to malaria was tested using circumsporozoite protein (CSP) and merozoite surface protein immunochromatographic antibody tests. Malaria parasite was examined using different tools, which include microscopy based on blood smears, rapid diagnostic test based on HRP 2 proteins, and serology based on human immune response to parasite and vector antigens have been also examined in the highlands in comparison with different topographical systems of western Kenya. Results: The results suggested that changes in the topography had implication on transmission in highlands of western Kenya and appropriate diagnosis, treatment, and control tool needed to be considered accordingly. Both plateau and U-shaped valley found to have higher parasite density than V-shaped valley. People in V-valley were less immune than in plateau and U-valley residents. Conclusion: Topography diversity in western Kenya highlands has a significant impact on exposure rates of human to malaria vectors and parasite. The residents of V-shaped valleys are at risk of having explosive malaria outbreaks during hyper-transmission periods due to low exposure to malaria parasite; hence, they have low immune response to malaria, while the U-shaped valleys have stable malaria transmission, therefore, the human population has developed immunity to malaria due to continuous exposure to malaria. © 2016 Wanjala and Kweka.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015295906&doi=10.3389%2fFPUBH.2016.00227&partnerID=40&md5=0c275ae7a6bd2a397dffe8be138297a0","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
31829850,"Solving the plastic problem: From cradle to grave, to reincarnation","Rhodes CJ.","Sci Prog. 2019 Sep;102(3):218-248. doi: 10.1177/0036850419867204. Epub 2019 Aug 8.","Rhodes CJ","Sci Prog",2019,"2019/12/13","","","10.1177/0036850419867204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",1
24159835,"Malaria control in the Greater Mekong Subregion: an overview of the current response and its limitations","Hewitt, S. and Delacollette, C. and Poirot, E.","Southeast Asian J Trop Med Public Health. 2013;44 Suppl 1:249-305; discussion 306-7.","Hewitt S","Southeast Asian J Trop Med Public Health",2013,"2013/10/29","","","","VBDC Consulting Ltd, Llandysul, United Kingdom","2013","The Southeast Asian journal of tropical medicine and public health","The malaria burden in the Greater Mekong Subregion has been dramatically reduced over the last 20 years but the disease remains an important public health issue in all six countries. This chapter introduces the standard tools for malaria control (long lasting insecticidal nets; indoor residual spraying; early diagnosis and appropriate treatment; epidemic surveillance and response; and, communication) and presents the evidence base supporting the use of each of these tools in the Subregion. Targeting approaches and delivery mechanisms for these tools are presented and discussed country by country. The technical limitations of these standard tools and delivery mechanisms are then discussed in the context of local variations in the epidemiology of the disease. The challenges presented by the feeding and resting habits of local vectors, by the characteristics and behavior of different human population groups, and by particular species and drug resistant strains of malaria parasites are considered. A range of innovative tools and delivery mechanism that have been developed to address these problems are presented and moves to bring these various innovations together to provide a comprehensive package of malaria control services for each risk group are discussed. Implementation arrangements are introduced and an overview of the stakeholder landscape at regional and country level is provided. Finally, remaining programmatic gaps (which include limited coverage, declining funds, drug resistance, weak surveillance and weak health systems) are highlighted and areas in need of further action (including the need for continued innovation) are discussed.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891700072&partnerID=40&md5=b821b4a73430ad820a7b95bd092f79b7","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
28752253,"Homing in a tropical social wasp: role of spatial familiarity, motivation and age","Mandal, S. and Brahma, A. and Gadagkar, R.","J Comp Physiol A Neuroethol Sens Neural Behav Physiol. 2017 Nov;203(11):915-927. doi: 10.1007/s00359-017-1202-8. Epub 2017 Jul 27.","Mandal S","J Comp Physiol A Neuroethol Sens Neural Behav Physiol",2017,"2017/07/29","","","10.1007/s00359-017-1202-8","Division of Biological Sciences, Centre for Ecological Sciences, Indian Institute of Science, Bangalore, 560012, India","2017","Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology","We captured foragers of the tropical social wasp Ropalidia marginata from their nests and displaced them at different distances and directions. Wasps displaced within their probable foraging grounds returned to their nests on the day of release although they oriented randomly upon release; however, wasps fed before release returned sooner, displaying nest-ward orientation. When displaced to places far from their nests, thus expected to be unfamiliar, only a third returned on the day of release showing nest-ward orientation; others oriented randomly and either returned on subsequent days or never. When confined within mosquito-net tents since eclosion and later released to places close to their nests (but unfamiliar), even fed wasps oriented randomly, and only older wasps returned, taking longer time. Thus, contrary to insects inhabiting less-featured landscapes, R. marginata foragers appear to have thorough familiarity with their foraging grounds that enables them to orient and home efficiently after passive displacement. Their initial orientation is, however, determined by an interaction of the information acquired from surrounding landscape and their physiological motivation. With age, they develop skills to home from unfamiliar places. Homing behaviour in insects appears to be influenced by evolutionarily conserved mechanisms and the landscape in which they have evolved. © 2017, Springer-Verlag GmbH Germany.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026903961&doi=10.1007%2fs00359-017-1202-8&partnerID=40&md5=4fa378bd5ca9f0ba768db40416e98433","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
27430261,"Vertical stratification of adult mosquitoes (Diptera: Culicidae) within a tropical rainforest in Sabah, Malaysia","Brant, H.L. and Ewers, R.M. and Vythilingam, I. and Drakeley, C. and Benedick, S. and Mumford, J.D.","Malar J. 2016 Jul 19;15(1):370. doi: 10.1186/s12936-016-1416-1.","Brant HL","Malar J",2016,"2016/07/20","PMC4950076","","10.1186/s12936-016-1416-1","Faculty of Natural Sciences, Centre for Environmental Policy, Imperial College London, Silwood Park Campus, Buckhurst Road, Ascot, SL5 7PY, United Kingdom and Department of Life Sciences, Faculty of Natural Sciences, Imperial College London, Silwood Park Campus, Buckhurst Road, Ascot, Berkshire, SL5 7PY, United Kingdom and Department of Parasitology, Faculty of Medicine, University of Malaya, Kuala Lumpur, 50603, Malaysia and Department of Immunology and Infection, Faculty of Infectious and Tropical Diseases, London School of Hygiene and Tropical Medicine, London, WC1E 7HT, United Kingdom and Faculty of Sustainable Agriculture, Universiti Malaysia Sabah, Locked Bag No. 3, Sandakan, Sabah, 90509, Malaysia","2016","Malaria Journal","Background: Malaria cases caused by Plasmodium knowlesi, a simian parasite naturally found in long-tailed and pig-tailed macaques, are increasing rapidly in Sabah, Malaysia. One hypothesis is that this increase is associated with changes in land use. A study was carried out to identify the anopheline vectors present in different forest types and to observe the human landing behaviour of mosquitoes. Methods: Mosquito collections were carried out using human landing catches at ground and canopy levels in the Tawau Division of Sabah. Collections were conducted along an anthropogenic disturbance gradient (primary forest, lightly logged virgin jungle reserve and salvage logged forest) between 18:00 and 22:00 h. Results: Anopheles balabacensis, a vector of P. knowlesi, was the predominant species in all collection areas, accounting for 70 % of the total catch, with a peak landing time of 18:30-20:00 h. Anopheles balabacensis had a preference for landing on humans at ground level compared to the canopy (p < 0.0001). A greater abundance of mosquitoes were landing in the logged forest compared to the primary forest (p < 0.0001). There was no difference between mosquito abundance in the logged forest and lightly logged forest (p = 0.554). A higher evening temperature (p < 0.0001) and rainfall (p < 0.0001) significantly decreased mosquito abundance during collection nights. Conclusions: This study demonstrates the potential ability of An. balabacensis to transmit P. knowlesi between canopy-dwelling simian hosts and ground-dwelling humans, and that forest disturbance increases the abundance of this disease vector. These results, in combination with regional patterns of land use change, may partly explain the rapid rise in P. knowlesi cases in Sabah. This study provides essential data on anthropophily for the principal vector of P. knowlesi which is important for the planning of vector control strategies. © 2016 The Author(s).","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978700563&doi=10.1186%2fs12936-016-1416-1&partnerID=40&md5=2ec856213b67bc88e8115fde724b1328","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
24160170,"Avian malaria prevalence and mosquito abundance in the Western Cape, South Africa","Okanga S and Cumming GS and Hockey PA.","Malar J. 2013 Oct 25;12:370. doi: 10.1186/1475-2875-12-370.","Okanga S","Malar J",2013,"2013/10/29","PMC4016263","","10.1186/1475-2875-12-370","Percy FitzPatrick Institute, DST/NRF Centre of Excellence, University of Cape Town, Rondebosch, Cape Town 7701, South Africa","2013","Malaria Journal","Background: The close relationship between vector-borne diseases and their environment is well documented, especially for diseases with water-dependent vectors such as avian malaria. Mosquitoes are the primary vectors of avian malaria and also the definitive hosts in the disease life cycle. Factors pertinent to mosquito ecology are likely to be influential to observed infection patterns; such factors include rainfall, season, temperature, and water quality. Methods. The influence of mosquito abundance and occurrence on the prevalence of Plasmodium spp. in the Ploceidae family (weavers) was examined, taking into account factors with an indirect influence upon mosquito ecology. Mosquitoes and weaver blood samples were simultaneously collected in the Western Cape, South Africa over a two-year period, and patterns of vector abundance and infection prevalence were compared. Dissolved oxygen, pH, temperature and salinity measurements were taken at 20 permanent waterbodies. Rainfall during this period was also quantified using remotely sensed data from up to 6 months prior to sampling months. Results: Sixteen wetlands had weavers infected with avian malaria. More than half of the mosquitoes caught were trapped at one site; when this site was excluded, the number of mosquitoes trapped did not vary significantly between sites. The majority of mosquitoes collected belonged to the predominant vector species group for avian malaria (Culex culex species complex). Seasonal variation occurred in infection and mosquito prevalence, water pH and water temperature, with greater variability observed in summer than in winter. There was a significant correlation of infection prevalence with rainfall two months prior to sampling months. Mosquito prevalence patterns across the landscape also showed a close relationship to patterns of rainfall. Contrary to predictions, a pattern of asynchronous co-variation occurred between mosquito prevalence and infection prevalence. Conclusion: Overall, salinity, rainfall, and mosquito prevalence and season were the most influential vector-related factors on infection prevalence. After comparison with related studies, the tentative conclusion drawn was that patterns of asynchronous variation between malaria prevalence and mosquito abundance were concurrent with those reported in lag response patterns. © 2013 Okanga et al.; licensee BioMed Central Ltd.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886182109&doi=10.1186%2f1475-2875-12-370&partnerID=40&md5=f5c1b7bbfd24d98bb62d919cc3241e9a","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
